id,facebook_id,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,anger,disgust,fear,joy,sadness,analytical,confident,tentative,serverStatus
1,114320998024.00,0.528,0.523,0.537,0.653,0.511,0.217821,0.793375,0.501131,0.031477,0.284936,0.155,0,0.004,0
2,629309850525708.00,0.252,0.063,0.037,0.266,0.989,0.542857,0.084615,0.178302,0.224453,0.264283,0.793,0,0.843,0
3,641167695995015.00,0.817,0.571,0.157,0.012,0.401,0.162798,0.166694,0.21387,0.410916,0.220049,0,0,0,0
4,645818648873793.00,0.197111941,0.129873263,0.18048451,0.419478455,0.99,0.468938,0.259794,0.350803,0.037265,0.636412,0.717,0,0.719,0
5,702278566560482.00,0.155,0.079,0.081,0.226,0.975,0.539162,0.219993,0.431932,0.011625,0.642158,0.527,0,0.765,0
6,714714865310087.00,0.158,0.281,0.332,0.51,0.869,0.419015,0.162022,0.213941,0.066892,0.686369,0,0,0.566,0
7,717251385049358.00,0.817,0.571,0.157,0.012,0.401,0.041602,0.026298,0.141606,0.651962,0.1065,0,0,0,0
8,721610044613232.00,0.57102946,0.176590371,0.081769738,0.359928149,0.946623449,0.572222,0.156909,0.121436,0.036774,0.665709,0,0,0.569,0
9,749439225140215.00,0.842894133,0.510934272,0.028591869,0.061867269,0.863651422,0.630997,0.27334,0.102993,0.120977,0.247094,0.932,0,0,0
10,762237880525197.00,0.649,0.735,0.332,0.308,0.345,0.256465,0.501026,0.229375,0.116583,0.178444,0.779,0,0.346,0
11,768259989926268.00,0.99,0.149,0.04,0.079,0.967,0.347906,0.436338,0.096557,0.150341,0.377942,0,0,0.992,0
12,772757636113421.00,0.222737882,0.516426918,0.076798216,0.371376041,0.932767491,0.935205,0.093231,0.480453,0.024612,0.396882,0.961,0,0.583,0
13,774481089253955.00,0.027,0.105,0.613,0.71,0.987,0.343572,0.079755,0.465045,0.1223,0.373906,0,0,0,0
14,775096405905294.00,0.623,0.448,0,0.012,0.81,0.598183,0.160709,0.085206,0.067308,0.490147,0,0,0,0
15,778411672196282.00,0.127777542,0.197938872,0.742103995,0.933795568,0.717249134,0.734868,0.635966,0.279829,0.016707,0.28863,0.002,0,0.631,0
16,796510350443303.00,0.523,0.31,0.237,0.561,0.564,0.471535,0.337315,0.182789,0.076906,0.292775,0.255,0,0.933,0
17,796978440374086.00,0.22,0.086,0.519,0.445,0.955,0.385644,0.175945,0.611893,0.066624,0.378122,0.732,0,0,0
18,802310979817393.00,0.8707669,0.673957059,0.046140648,0.1826564,0.766577331,0.564624,0.422568,0.335366,0.013917,0.62554,0.945,0,0.914,0
19,824976664241139.00,0.02,0.19,0.989,0.948,0.081,0.117261,0.131583,0.047687,0.865401,0.062204,0.978,0,0,0
20,827400197320028.00,0.333257806,0.182419317,0.098913405,0.221933223,0.982577631,0.72857,0.233501,0.526891,0.020981,0.195548,0.953,0,0,0
21,832647583465055.00,0.675732048,0.017211965,0.291987961,0.352497369,0.93959943,0.613457,0.210962,0.268527,0.066235,0.378937,0.008,0,0.346,0
22,834702979920947.00,0.817,0.571,0.157,0.012,0.401,0.062344,0.021321,0.108747,0.660494,0.110253,0,0,0,0
23,858079934253289.00,0.263,0.123,0.413,0.301,0.936,0.315188,0.176883,0.250164,0.117284,0.488402,0,0.597,0,0
24,868289486567237.00,0.18,0.468,0.671,0.835,0.649,0.136609,0.048462,0.222051,0.750288,0.356966,0,0,0,0
25,880070242043381.00,0.442,0.272,0.042,0.053,0.871,0.432966,0.15655,0.180114,0.109203,0.387351,0,0,0,0
26,890027524376006.00,0.147,0.722,0.943,0.959,0.53,0.443398,0.132846,0.43871,0.149918,0.198742,0.605,0,0,0
27,890631240989382.00,0.221,0.174,0.588,0.582,0.882,0.442527,0.583367,0.113427,0.098273,0.414076,0.732,0,0,0
28,894312317279971.00,0.222,0.266,0.512,0.595,0.777,0.378051,0.424376,0.527814,0.02545,0.390559,0,0,0.875,0
29,898340956856774.00,0.252,0.067,0.157,0.114,0.968,0.278728,0.315512,0.473162,0.04299,0.275394,0.779,0,0,0
30,903462949671899.00,0.615,0.309,0.488,0.253,0.322,0.473077,0.30424,0.169655,0.216277,0.120433,0,0,0.953,0
31,908796639132380.00,0.278,0.376,0.277,0.345,0.842,0.444833,0.268998,0.303502,0.031793,0.378628,0.004,0,0,0
32,910340542312532.00,0.241,0.524,0,0.581,0.81,0.610495,0.03116,0.174073,0.127583,0.395513,0,0,0,0
33,915115921862212.00,0.367097903,0.009972094,0.119696778,0.669719627,0.977888148,0.297532,0.262357,0.241149,0.321529,0.080695,0.717,0,0.089,0
34,928186387191752.00,0.027,0.571,0.673,0.986,0.994,0.128645,0.263392,0.432374,0.224244,0.30407,0,0,0,0
35,933603689991537.00,0.095264923,0.169376104,0.547562246,0.936593476,0.957461378,0.543137,0.089174,0.168839,0.045618,0.548453,0.605,0,0.492,0
36,953065854732010.00,0.56267121,0.600652416,0.035637129,0.1375399,0.877456078,0.899029,0.144595,0.128772,0.030962,0.419616,0,0,0.944,0
37,968722983248453.00,0.723867174,0.828000388,0.009089124,0.06779922,0.83754834,0.890177,0.546187,0.226504,0.014754,0.113966,0.756,0.264,0,0
